player,minutes_played,passes,completed_passes,shots,dribbles,tackles,interceptions,passes_per90,pass_accuracy,shots_per90,dribbles_per90,tackles_per90,interceptions_per90
Tarek Hamed,235,142,0,2,0,0,3,54.38297872340426,0.0,0.7659574468085106,0.0,0.0,1.1489361702127658
Thiago Alcântara do Nascimento,166,118,0,2,6,0,1,63.97590361445783,0.0,1.0843373493975903,3.2530120481927707,0.0,0.5421686746987951
Thiago Emiliano da Silva,468,289,0,6,0,0,8,55.57692307692307,0.0,1.1538461538461537,0.0,0.0,1.5384615384615383
Thiago Rangel Cionek,94,81,0,0,0,0,2,77.5531914893617,0.0,0.0,0.0,0.0,1.9148936170212765
Thibaut Courtois,639,192,0,0,0,0,0,27.042253521126764,0.0,0.0,0.0,0.0,0.0
Thomas Delaney,371,185,0,4,5,0,7,44.87870619946092,0.0,0.9703504043126686,1.2129380053908356,0.0,1.69811320754717
Thomas Lemar,92,54,0,1,4,0,0,52.82608695652174,0.0,0.9782608695652175,3.91304347826087,0.0,0.0
Thomas Meunier,459,236,0,6,6,0,8,46.274509803921575,0.0,1.1764705882352942,1.1764705882352942,0.0,1.5686274509803924
Thomas Müller,285,113,0,4,3,0,0,35.68421052631579,0.0,1.2631578947368423,0.9473684210526316,0.0,0.0
Thomas Vermaelen,259,80,0,0,0,0,1,27.7992277992278,0.0,0.0,0.0,0.0,0.3474903474903475
Thorgan Hazard,186,57,0,3,2,0,3,27.58064516129032,0.0,1.4516129032258063,0.9677419354838709,0.0,1.4516129032258063
Tim Cahill,93,9,0,2,0,0,0,8.709677419354838,0.0,1.9354838709677418,0.0,0.0,0.0
Timo Werner,277,91,0,7,5,0,0,29.566787003610106,0.0,2.2743682310469313,1.6245487364620939,0.0,0.0
Tin Jedvaj,94,51,0,0,0,0,1,48.82978723404255,0.0,0.0,0.0,0.0,0.9574468085106382
Toby Alderweireld,539,446,0,5,0,0,4,74.47124304267162,0.0,0.8348794063079777,0.0,0.0,0.6679035250463822
Tom Rogić,222,64,0,5,9,0,2,25.945945945945944,0.0,2.0270270270270268,3.6486486486486487,0.0,0.8108108108108107
Tomi Jurić,238,18,0,0,1,0,0,6.80672268907563,0.0,0.0,0.37815126050420167,0.0,0.0
Tomoaki Makino,92,87,0,2,0,0,0,85.10869565217392,0.0,1.956521739130435,0.0,0.0,0.0
Toni Kroos,285,323,0,16,5,0,1,102.0,0.0,5.052631578947369,1.5789473684210527,0.0,0.31578947368421056
Trent Alexander-Arnold,77,66,0,1,2,0,2,77.14285714285715,0.0,1.168831168831169,2.337662337662338,0.0,2.337662337662338
